Date,KeyStatistic,CA,MainClientGroup,Sector,Unit,Value,ValueQF
20100331,Mean Age,S12000005,All Adults,All Sectors,Years,65,
20100331,Mean Age,S12000006,All Adults,All Sectors,Years,83,
20100331,Mean Age,S12000008,All Adults,All Sectors,Years,79,
20100331,Mean Age,S12000010,All Adults,All Sectors,Years,85,
20100331,Mean Age,S12000011,All Adults,All Sectors,Years,84,
20100331,Mean Age,S12000013,All Adults,All Sectors,Years,83,
20100331,Mean Age,S12000014,All Adults,All Sectors,Years,79,
20100331,Mean Age,S12000017,All Adults,All Sectors,Years,78,
20100331,Mean Age,S12000018,All Adults,All Sectors,Years,80,
20100331,Mean Age,S12000019,All Adults,All Sectors,Years,78,
20100331,Mean Age,S12000020,All Adults,All Sectors,Years,83,
20100331,Mean Age,S12000021,All Adults,All Sectors,Years,78,
20100331,Mean Age,S12000023,All Adults,All Sectors,Years,84,
20100331,Mean Age,S12000026,All Adults,All Sectors,Years,80,
20100331,Mean Age,S12000027,All Adults,All Sectors,Years,84,
20100331,Mean Age,S12000028,All Adults,All Sectors,Years,82,
20100331,Mean Age,S12000029,All Adults,All Sectors,Years,79,
20100331,Mean Age,S12000030,All Adults,All Sectors,Years,75,
20100331,Mean Age,S12000033,All Adults,All Sectors,Years,74,
20100331,Mean Age,S12000034,All Adults,All Sectors,Years,80,
20100331,Mean Age,S12000035,All Adults,All Sectors,Years,84,
20100331,Mean Age,S12000036,All Adults,All Sectors,Years,81,
20100331,Mean Age,S12000038,All Adults,All Sectors,Years,81,
20100331,Mean Age,S12000039,All Adults,All Sectors,Years,82,
20100331,Mean Age,S12000040,All Adults,All Sectors,Years,79,
20100331,Mean Age,S12000041,All Adults,All Sectors,Years,81,
20100331,Mean Age,S12000042,All Adults,All Sectors,Years,80,
20100331,Mean Age,S12000045,All Adults,All Sectors,Years,80,
20100331,Mean Age,S12000047,All Adults,All Sectors,Years,82,
20100331,Mean Age,S12000048,All Adults,All Sectors,Years,81,
20100331,Mean Age,S12000049,All Adults,All Sectors,Years,77,
20100331,Mean Age,S12000050,All Adults,All Sectors,Years,82,
20100331,Mean Age,S92000003,All Adults,All Sectors,Years,80,
20100331,Mean Age,S92000003,Learning Disabilities,All Sectors,Years,49,
