,HBName,CAName,Year,InjuryType,NumberofDeaths
1,NHS Ayrshire and Arran,East Ayrshire,2012,Land transport accidents,2
2,NHS Ayrshire and Arran,East Ayrshire,2012,Poisoning,19
3,NHS Ayrshire and Arran,East Ayrshire,2012,Falls,12
4,NHS Ayrshire and Arran,East Ayrshire,2012,"Struck by,against",0
5,NHS Ayrshire and Arran,East Ayrshire,2012,Crushing,0
6,NHS Ayrshire and Arran,East Ayrshire,2012,Scalds,0
7,NHS Ayrshire and Arran,East Ayrshire,2012,Accidental exposure,2
8,NHS Ayrshire and Arran,East Ayrshire,2012,Other,1
10,NHS Ayrshire and Arran,East Ayrshire,2013,Land transport accidents,7
11,NHS Ayrshire and Arran,East Ayrshire,2013,Poisoning,15
12,NHS Ayrshire and Arran,East Ayrshire,2013,Falls,15
13,NHS Ayrshire and Arran,East Ayrshire,2013,"Struck by,against",0
14,NHS Ayrshire and Arran,East Ayrshire,2013,Crushing,0
15,NHS Ayrshire and Arran,East Ayrshire,2013,Scalds,0
16,NHS Ayrshire and Arran,East Ayrshire,2013,Accidental exposure,1
17,NHS Ayrshire and Arran,East Ayrshire,2013,Other,6
19,NHS Ayrshire and Arran,East Ayrshire,2014,Land transport accidents,3
20,NHS Ayrshire and Arran,East Ayrshire,2014,Poisoning,19
21,NHS Ayrshire and Arran,East Ayrshire,2014,Falls,14
22,NHS Ayrshire and Arran,East Ayrshire,2014,"Struck by,against",0
23,NHS Ayrshire and Arran,East Ayrshire,2014,Crushing,0
24,NHS Ayrshire and Arran,East Ayrshire,2014,Scalds,0
25,NHS Ayrshire and Arran,East Ayrshire,2014,Accidental exposure,3
26,NHS Ayrshire and Arran,East Ayrshire,2014,Other,2
28,NHS Ayrshire and Arran,East Ayrshire,2015,Land transport accidents,3
29,NHS Ayrshire and Arran,East Ayrshire,2015,Poisoning,16
30,NHS Ayrshire and Arran,East Ayrshire,2015,Falls,23
31,NHS Ayrshire and Arran,East Ayrshire,2015,"Struck by,against",0
32,NHS Ayrshire and Arran,East Ayrshire,2015,Crushing,0
33,NHS Ayrshire and Arran,East Ayrshire,2015,Scalds,0
34,NHS Ayrshire and Arran,East Ayrshire,2015,Accidental exposure,0
35,NHS Ayrshire and Arran,East Ayrshire,2015,Other,5
37,NHS Ayrshire and Arran,East Ayrshire,2016,Land transport accidents,7
38,NHS Ayrshire and Arran,East Ayrshire,2016,Poisoning,31
39,NHS Ayrshire and Arran,East Ayrshire,2016,Falls,20
40,NHS Ayrshire and Arran,East Ayrshire,2016,"Struck by,against",0
41,NHS Ayrshire and Arran,East Ayrshire,2016,Crushing,0
42,NHS Ayrshire and Arran,East Ayrshire,2016,Scalds,0
43,NHS Ayrshire and Arran,East Ayrshire,2016,Accidental exposure,2
44,NHS Ayrshire and Arran,East Ayrshire,2016,Other,7
46,NHS Ayrshire and Arran,East Ayrshire,2017,Land transport accidents,5
47,NHS Ayrshire and Arran,East Ayrshire,2017,Poisoning,28
48,NHS Ayrshire and Arran,East Ayrshire,2017,Falls,20
49,NHS Ayrshire and Arran,East Ayrshire,2017,"Struck by,against",0
50,NHS Ayrshire and Arran,East Ayrshire,2017,Crushing,0
51,NHS Ayrshire and Arran,East Ayrshire,2017,Scalds,0
52,NHS Ayrshire and Arran,East Ayrshire,2017,Accidental exposure,1
53,NHS Ayrshire and Arran,East Ayrshire,2017,Other,3
55,NHS Ayrshire and Arran,East Ayrshire,2018,Land transport accidents,1
56,NHS Ayrshire and Arran,East Ayrshire,2018,Poisoning,29
57,NHS Ayrshire and Arran,East Ayrshire,2018,Falls,24
58,NHS Ayrshire and Arran,East Ayrshire,2018,"Struck by,against",0
59,NHS Ayrshire and Arran,East Ayrshire,2018,Crushing,0
60,NHS Ayrshire and Arran,East Ayrshire,2018,Scalds,0
61,NHS Ayrshire and Arran,East Ayrshire,2018,Accidental exposure,7
62,NHS Ayrshire and Arran,East Ayrshire,2018,Other,6
64,NHS Ayrshire and Arran,East Ayrshire,2019,Land transport accidents,8
65,NHS Ayrshire and Arran,East Ayrshire,2019,Poisoning,40
66,NHS Ayrshire and Arran,East Ayrshire,2019,Falls,27
67,NHS Ayrshire and Arran,East Ayrshire,2019,"Struck by,against",0
68,NHS Ayrshire and Arran,East Ayrshire,2019,Crushing,0
69,NHS Ayrshire and Arran,East Ayrshire,2019,Scalds,0
70,NHS Ayrshire and Arran,East Ayrshire,2019,Accidental exposure,1
71,NHS Ayrshire and Arran,East Ayrshire,2019,Other,5
73,NHS Ayrshire and Arran,East Ayrshire,2020,Land transport accidents,4
74,NHS Ayrshire and Arran,East Ayrshire,2020,Poisoning,38
75,NHS Ayrshire and Arran,East Ayrshire,2020,Falls,30
76,NHS Ayrshire and Arran,East Ayrshire,2020,"Struck by,against",0
77,NHS Ayrshire and Arran,East Ayrshire,2020,Crushing,0
78,NHS Ayrshire and Arran,East Ayrshire,2020,Scalds,0
79,NHS Ayrshire and Arran,East Ayrshire,2020,Accidental exposure,0
80,NHS Ayrshire and Arran,East Ayrshire,2020,Other,5
82,NHS Ayrshire and Arran,East Ayrshire,2021,Land transport accidents,8
83,NHS Ayrshire and Arran,East Ayrshire,2021,Poisoning,38
84,NHS Ayrshire and Arran,East Ayrshire,2021,Falls,24
85,NHS Ayrshire and Arran,East Ayrshire,2021,"Struck by,against",0
86,NHS Ayrshire and Arran,East Ayrshire,2021,Crushing,0
87,NHS Ayrshire and Arran,East Ayrshire,2021,Scalds,0
88,NHS Ayrshire and Arran,East Ayrshire,2021,Accidental exposure,1
89,NHS Ayrshire and Arran,East Ayrshire,2021,Other,1
91,NHS Ayrshire and Arran,North Ayrshire,2012,Land transport accidents,2
92,NHS Ayrshire and Arran,North Ayrshire,2012,Poisoning,21
93,NHS Ayrshire and Arran,North Ayrshire,2012,Falls,9
94,NHS Ayrshire and Arran,North Ayrshire,2012,"Struck by,against",0
95,NHS Ayrshire and Arran,North Ayrshire,2012,Crushing,0
96,NHS Ayrshire and Arran,North Ayrshire,2012,Scalds,0
97,NHS Ayrshire and Arran,North Ayrshire,2012,Accidental exposure,4
98,NHS Ayrshire and Arran,North Ayrshire,2012,Other,2
100,NHS Ayrshire and Arran,North Ayrshire,2013,Land transport accidents,6
101,NHS Ayrshire and Arran,North Ayrshire,2013,Poisoning,11
102,NHS Ayrshire and Arran,North Ayrshire,2013,Falls,16
103,NHS Ayrshire and Arran,North Ayrshire,2013,"Struck by,against",0
104,NHS Ayrshire and Arran,North Ayrshire,2013,Crushing,0
105,NHS Ayrshire and Arran,North Ayrshire,2013,Scalds,0
106,NHS Ayrshire and Arran,North Ayrshire,2013,Accidental exposure,2
107,NHS Ayrshire and Arran,North Ayrshire,2013,Other,5
109,NHS Ayrshire and Arran,North Ayrshire,2014,Land transport accidents,2
110,NHS Ayrshire and Arran,North Ayrshire,2014,Poisoning,15
111,NHS Ayrshire and Arran,North Ayrshire,2014,Falls,17
112,NHS Ayrshire and Arran,North Ayrshire,2014,"Struck by,against",0
113,NHS Ayrshire and Arran,North Ayrshire,2014,Crushing,0
114,NHS Ayrshire and Arran,North Ayrshire,2014,Scalds,0
115,NHS Ayrshire and Arran,North Ayrshire,2014,Accidental exposure,2
116,NHS Ayrshire and Arran,North Ayrshire,2014,Other,5
118,NHS Ayrshire and Arran,North Ayrshire,2015,Land transport accidents,5
119,NHS Ayrshire and Arran,North Ayrshire,2015,Poisoning,16
120,NHS Ayrshire and Arran,North Ayrshire,2015,Falls,20
121,NHS Ayrshire and Arran,North Ayrshire,2015,"Struck by,against",0
122,NHS Ayrshire and Arran,North Ayrshire,2015,Crushing,0
123,NHS Ayrshire and Arran,North Ayrshire,2015,Scalds,0
124,NHS Ayrshire and Arran,North Ayrshire,2015,Accidental exposure,4
125,NHS Ayrshire and Arran,North Ayrshire,2015,Other,8
127,NHS Ayrshire and Arran,North Ayrshire,2016,Land transport accidents,6
128,NHS Ayrshire and Arran,North Ayrshire,2016,Poisoning,35
129,NHS Ayrshire and Arran,North Ayrshire,2016,Falls,17
130,NHS Ayrshire and Arran,North Ayrshire,2016,"Struck by,against",0
131,NHS Ayrshire and Arran,North Ayrshire,2016,Crushing,0
132,NHS Ayrshire and Arran,North Ayrshire,2016,Scalds,0
133,NHS Ayrshire and Arran,North Ayrshire,2016,Accidental exposure,4
134,NHS Ayrshire and Arran,North Ayrshire,2016,Other,3
136,NHS Ayrshire and Arran,North Ayrshire,2017,Land transport accidents,2
137,NHS Ayrshire and Arran,North Ayrshire,2017,Poisoning,20
138,NHS Ayrshire and Arran,North Ayrshire,2017,Falls,34
139,NHS Ayrshire and Arran,North Ayrshire,2017,"Struck by,against",0
140,NHS Ayrshire and Arran,North Ayrshire,2017,Crushing,0
141,NHS Ayrshire and Arran,North Ayrshire,2017,Scalds,0
142,NHS Ayrshire and Arran,North Ayrshire,2017,Accidental exposure,1
143,NHS Ayrshire and Arran,North Ayrshire,2017,Other,3
145,NHS Ayrshire and Arran,North Ayrshire,2018,Land transport accidents,4
146,NHS Ayrshire and Arran,North Ayrshire,2018,Poisoning,40
147,NHS Ayrshire and Arran,North Ayrshire,2018,Falls,16
148,NHS Ayrshire and Arran,North Ayrshire,2018,"Struck by,against",0
149,NHS Ayrshire and Arran,North Ayrshire,2018,Crushing,0
150,NHS Ayrshire and Arran,North Ayrshire,2018,Scalds,0
151,NHS Ayrshire and Arran,North Ayrshire,2018,Accidental exposure,2
152,NHS Ayrshire and Arran,North Ayrshire,2018,Other,6
154,NHS Ayrshire and Arran,North Ayrshire,2019,Land transport accidents,2
155,NHS Ayrshire and Arran,North Ayrshire,2019,Poisoning,44
