Store Number,Longitude,Latitude
47370-257954,1.53,42.51
22331-212325,55.47,25.42
47089-256771,55.47,25.39
22126-218024,54.38,24.48
17127-178586,54.54,24.51
17688-182164,54.49,24.4
18182-182165,54.49,24.4
23359-229184,54.61,24.46
30781-99022,55.69,24.19
20423-205465,54.38,24.48
20424-205466,54.34,24.47
1579-122101,54.37,24.49
32595-122105,55.69,24.19
24191-236428,54.7,24.3
24604-238367,54.6,24.48
32029-110804,55.74,24.21
29560-238539,54.34,24.47
32239-100001,54.35,24.47
31719-103601,54.37,24.47
20008-200004,54.38,24.48
32767-131566,54.51,24.42
3886-141408,54.35,24.46
29539-254261,54.66,24.41
28809-251348,54.41,24.5
34262-62540,54.32,24.47
3178-141407,54.57,24.35
34260-17877,55.62,24.21
21605-213406,54.44,24.54
1935-141406,54.34,24.47
20113-195784,54.94,24.9
34227-33225,54.37,24.5
17361-180588,54.6,24.4
15938-165686,55.77,24.48
16453-170544,54.44,24.43
24085-235545,54.61,24.46
24932-239347,54.39,24.46
18469-188844,54.39,24.43
28810-251346,54.66,24.41
1897-120044,55.53,23.85
20772-207664,54.37,24.47
2176-143834,54.37,24.52
18530-169885,54.37,24.48
24931-239348,54.37,24.47
29306-253248,55.4,24.12
17291-169884,55.29,25.24
32640-131563,55.65,24.19
34332-97778,55.73,24.24
16257-166109,55.39,25.1
1926-141411,55.81,24.16
24510-238164,55.69,24.21
17788-183965,55.8,24.13
22963-226644,54.47,24.41
23197-228761,54.63,24.29
23549-231166,54.69,24.39
15060-156348,55.23,25.05
34291-80114,55.23,25.17
27072-246650,55.6,24.78
18751-188904,55.35,25.25
18857-187024,55.31,25.27
28908-251804,55.16,25.1
32250-107405,55.27,25.19
34211-17922,55.28,25.21
34315-87671,55.15,25.08
23213-228760,55.35,25.25
30780-154130,55.2,25.12
25406-240945,55.4,25.23
32329-111864,55.28,25.19
32741-141410,55.12,25.13
17787-183964,55.14,25.08
3183-143827,55.24,25.17
32571-107873,55.13,25.07
23973-234507,55.31,25.27
32144-123448,55.28,25.19
34219-17920,55.32,25.27
32476-106835,55.13,25.07
7073-204444,55.12,25.13
18026-187444,55.23,25.19
34284-65720,55.25,25.22
32117-116426,55.17,25.1
20347-204885,55.31,25.27
49595-270099,55.33,25.26
32292-111724,55.27,25.2
4141-147544,55.24,25.05
21600-213424,55.35,25.27
47514-254743,55.19,25.11
26471-239345,55.19,25.03
25879-242844,55.42,25.23
6137-116711,55.24,25.2
3173-122109,55.46,25.26
23212-228759,55.35,25.25
34335-97976,55.12,25.04
1801-136467,55.28,25.2
31199-104340,55.33,25.25
31853-109684,55,24.92
